หลักทรัพย์,บริษัท,ตลาด,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,ที่อยู่,รหัสไปรษณีย์,โทรศัพท์,โทรสาร,เว๊บไซต์
MVP,บริษัท เอ็ม วิชั่น จำกัด (มหาชน),mai,บริการ,-,เลขที่ 11/1 ซอยรามคำแหง 121 ถนนรามคำแหง แขวงหัวหมาก เขตบางกะปิ กทม.,10240,"0-2735-1201, 0-2735-1202, 0-2735-1204",0-2735-2719,www.mvisioncorp.com
NBC,บริษัท เนชั่น บรอดแคสติ้ง คอร์ปอเรชั่น จำกัด (มหาชน),mai,บริการ,-,เลขที่ 1854 ถนนเทพรัตน แขวงบางนาใต้ เขตบางนา กทม.,10260,-,0-2338-3904,http://www.nbc.co.th
NC,บริษัท นิวซิตี้ (กรุงเทพฯ) จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,แฟชั่น,666 ถนนพระราม 3 แขวงบางโพงพาง เขตยานนาวา กทม.,10120,0-2294-6999,0-2294-3803,www.newcity.co.th
NCAP,บริษัท เน็คซ์ แคปปิตอล จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,163 อาคารไทยสมุทร ชั้น 15 ถนนสุรวงศ์ แขวงสุริยวงศ์ เขตบางรัก กทม.,10500,0-2117-5999,0-2117-5959,www.nextcapital.co.th
NCH,บริษัท เอ็น. ซี. เฮ้าส์ซิ่ง จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,1/765 หมู่ 17 ถนนพหลโยธิน กม.26 ตำบลคูคต อำเภอลำลูกกา ปทุมธานี,12130,0-2993-5080-7,0-2533-7767,http://www.ncgroup.co.th
NCL,บริษัท เอ็นซีแอล อินเตอร์เนชั่นแนล โลจิสติกส์ จำกัด (มหาชน),mai,บริการ,-,56/9-10 ซอยตากสิน 12/1 ถนนสมเด็จพระเจ้าตากสิน แขวงบุคคโล เขตธนบุรี กทม.,10600,0-2473-7351,0-2473-7374,www.nclthailand.com
NDR,บริษัท เอ็น.ดี.รับเบอร์ จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,129 หมู่ที่ 3 ถนนหนองชาก-พนัสนิคม ตำบลหนองอิรุณ อำเภอบ้านบึง ชลบุรี,20220,0-3816-0707,0-3816-0706,www.ndrubber.co.th
NEP,บริษัท เอ็นอีพี อสังหาริมทรัพย์ และอุตสาหกรรม จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,บรรจุภัณฑ์,41 ซอยพหลโยธิน 5 ถนนพหลโยธิน แขวงพญาไท เขตพญาไท กทม.,10400,0-2271-4213-16,0-2271-4416,www.nep.co.th
NER,บริษัท นอร์ทอีส รับเบอร์ จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,ธุรกิจการเกษตร,เลขที่ 398 หมู่ 4 ตำบลโคกม้า อำเภอประโคนชัย บุรีรัมย์,31140,"0-4466-6928, 0-4466-6929","0-4466-6212, 0-4466-6213",http://www.nerubber.com
NETBAY,บริษัท เน็ตเบย์ จำกัด (มหาชน),mai,เทคโนโลยี,-,"719/5,8-9 ถนนพระรามที่ 6 แขวงวังใหม่ เขตปทุมวัน กทม.",10330,0-2620-1800,0-2612-3051,http://www.netbay.co.th
NEW,บริษัท วัฒนาการแพทย์ จำกัด (มหาชน),SET,บริการ,การแพทย์,70/7-8 ถนนศุภกิจจรรยา ตำบลหมากแข้ง อำเภอเมือง อุดรธานี,41000,"0-4224-1031-3, 0-4224-6181-3",0-4224-1956,www.wattanahospital.net
NEWS,บริษัท นิวส์ เน็ตเวิร์ค คอร์ปอเรชั่น จำกัด (มหาชน),mai,บริการ,-,"อาคารเล้าเป้งง้วน 1 ชั้น 18 โซนเอ, 333 ซอยเฉยพ่วง ถนนวิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กทม.",10900,0-2273-8351-8,0-2273-8359,www.newsnetwork.co.th
NEX,บริษัท เน็กซ์ พอยท์ จำกัด (มหาชน),SET,เทคโนโลยี,ชิ้นส่วนอิเล็กทรอนิกส์,เลขที่ 999/999 หมู่ 4 ตำบลบางโฉลง อำเภอบางพลี สมุทรปราการ,10540,0-2026-3599,0-2116-4878,www.nexpoint.co.th
NFC,บริษัท เอ็นเอฟซี จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,เลขที่ 88 อาคารเอสซี กรุ๊ป ชั้น 3 ถนนเดอะพาร์คแลนด์ แขวงบางนาเหนือ เขตบางนา กทม.,10260,0-2348-0580-6,0-2348-0578-9,www.nfc.co.th
NINE,บริษัท เนชั่น อินเตอร์เนชั่นแนล เอ็ดดูเทนเมนท์ จำกัด (มหาชน),mai,บริการ,-,333 อาคารเล้าเป้งง้วน 1 ชั้น 24 ซอยเฉยพ่วง ถนนวิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กทม.,10900,0-2091-5900,0-2091-5928,http://www.nine.co.th
NKI,บริษัท นวกิจประกันภัย จำกัด (มหาชน),SET,ธุรกิจการเงิน,ประกันภัยและประกันชีวิต,"อาคารสาธรนคร สาธรธานีคอมเพล็กซ์ ชั้น 26-27, 100/50-55, 90/4-6 ถนนสาธรเหนือ แขวงสีลม เขตบางรัก กทม.",10500,"0-2636-7900 , 0-2238-5058","0-2636-7999, 0-2636-7998",www.navakij.co.th
NMG,บริษัท เนชั่น มัลติมีเดีย กรุ๊ป จำกัด (มหาชน),SET,บริการ,สื่อและสิ่งพิมพ์,"เลขที่ 1854 ชั้นที่ 9, 10, 11 ถนนเทพรัตน แขวงบางนาใต้ เขตบางนา กทม.",10260,-,-,http://www.nationgroup.com
NNCL,บริษัท นวนคร จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 999 หมู่ 13 ถนนพหลโยธิน ต.คลองหนึ่ง อ.คลองหลวง ปทุมธานี,12120,0-2529-0031-5,0-2529-2176,www.navanakorn.co.th
NOBLE,บริษัท โนเบิล ดีเวลลอปเมนท์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,อาคารโนเบิล เลขที่ 1035 ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กทม.,10330,0-2251-9955,0-2251-9977,www.noblehome.com
NOK,บริษัท สายการบินนกแอร์ จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,222 ท่าอากาศยานดอนเมือง อาคารส่วนกลาง ห้องเลขที่ 4235 ชั้น 4 ถนนวิภาวดีรังสิต แขวงสนามบิน เขตดอนเมือง กทม.,10210,0-2627-2000,-,www.nokair.com
NOVA,บริษัท โนวา เอมไพร์ จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,เลขที่ 88 ซอยบางนา-ตราด 30 ถนนเทพรัตน แขวงบางนาใต้ เขตบางนา กทม.,10260,-,-,www.tiw.co.th
NPK,บริษัท นิวพลัสนิตติ้ง จำกัด (มหาชน),mai,สินค้าอุปโภคบริโภค,-,34 หมู่ 20 ถนนสุวินทวงศ์ ตำบลศาลาแดง อำเภอบางน้ำเปรี้ยว ฉะเชิงเทรา,24000,"0-3859-3129-30 , 0-3859-3133",0-3884-6040,https://www.newplus.co.th/
NRF,บริษัท เอ็นอาร์ อินสแตนท์ โปรดิวซ์ จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,99/1 หมู่ที่ 4 ตำบลแคราย อำเภอกระทุ่มแบน สมุทรสาคร,74110,0-3484-9576-80,0-3484-9586,https://www.nrinstant.com/
NSI,บริษัทนำสินประกันภัย จำกัด (มหาชน),SET,ธุรกิจการเงิน,ประกันภัยและประกันชีวิต,767 ถนนกรุงเทพ-นนทบุรี แขวงบางซื่อ เขตบางซื่อ กทม.,10800,"0-2016-3333, 0-2017-3333",0-2911-4481,www.namsengins.co.th
NSL,บริษัท เอ็นเอสแอล ฟู้ดส์ จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,55/22 หมู่ที่ 3 ถนนบางบัวทอง-สะพานนนทบุรี (345) ตำบลลำโพ อำเภอบางบัวทอง นนทบุรี,11110,0-2525-8520,0-2525-8538,www.nslfoods.com
NTV,บริษัท โรงพยาบาลนนทเวช จำกัด (มหาชน),SET,บริการ,การแพทย์,30/8 หมู่ 2 ถนนงามวงศ์วาน ตำบลบางเขน อำเภอเมือง นนทบุรี,11000,0-2596-7888,0-2589-8753,www.nonthavej.co.th
NUSA,บริษัท ณุศาศิริ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 2922/209 อาคารชาญอิสสระทาวเวอร์ 2 ชั้น 13 (12 เอ) ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กทม.,10310,0-2030-1399,-,www.nusasiri.com
NVD,บริษัท เนอวานา ไดอิ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 343/351 ถนนประเสริฐมนูกิจ แขวงนวลจันทร์ เขตบึงกุ่ม กทม.,10230,0-2105-6789,0-2105-6787,http://www.nirvanadaii.com
NWR,บริษัทเนาวรัตน์พัฒนาการ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,"อาคารบางนาทาวเวอร์ เอ ชั้น 18-19, 2/3 หมู่ 14 ถนนบางนา-ตราด กม.6.5 ตำบลบางแก้ว อำเภอบางพลี สมุทรปราการ",10540,"0-2730-2100, 0-2751-9455-74","0-2751-9487, 0-2751-9484-5",www.nawarat.co.th
NYT,บริษัท นามยง เทอร์มินัล จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,1168/52 อาคารลุมพินีทาวเวอร์ ชั้น 19 ถนนพระราม 4 แขวงทุ่งมหาเมฆ เขตสาทร กทม.,10120,0-2679-7357,0-2285-6642,www.namyongterminal.com
OCC,บริษัท โอ ซี ซี จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,ของใช้ส่วนตัวและเวชภัณฑ์,729/4-7 ถนนรัชดาภิเษก แขวงบางโพงพาง เขตยานนาวา กทม.,10120,"0-2295-4545, 0-2295-4567",0-2295-0415,www.occ.co.th
OCEAN,บริษัท โอเชี่ยน คอมเมิรช จำกัด (มหาชน),mai,สินค้าอุปโภคบริโภค,-,98 อาคารอรรถกะวี 1 ชั้น 5 ซอยอารี ถนนสุขุมวิท 26 แขวงคลองตัน เขตคลองเตย กทม.,10110,0-2077-5853,-,http://www.oceancommerce.co.th
OGC,บริษัท โอเชียนกลาส จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,ของใช้ในครัวเรือนและสำนักงาน,"อาคารโอเชี่ยนทาวเวอร์ 2 ชั้น 34, 75/88-91 ถนนสุขุมวิท 19 แขวงคลองเตยเหนือ เขตวัฒนา กทม.",10110,0-2661-6556,0-2661-6550,http://www.oceanglass.com
OHTL,บริษัท โอเอชทีแอล จำกัด (มหาชน),SET,บริการ,การท่องเที่ยวและสันทนาการ,48 ซอยบูรพา ถนนเจริญกรุง แขวงบางรัก เขตบางรัก กทม.,10500,0-2659-9000,0-2659-0000,www.mandarinoriental.com/bangkok.com
OISHI,บริษัท โออิชิ กรุ๊ป จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,ห้องเลขที่ บี 3601 อาคารซีดับเบิ้ลยู ทาวเวอร์ ชั้น 36 เลขที่ 90 ถนนรัชดาภิเษก แขวงห้วยขวาง เขตห้วยขวาง กทม.,10310,0-2768-8888,0-2768-8889,www.oishigroup.com
OR,บริษัท ปตท. น้ำมันและการค้าปลีก จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,555/2 ศูนย์เอ็นเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 ถนนวิภาวดีรังสิต แขวงจตุจักร เขตจตุจักร กทม.,10900,0-2196-5959,-,www.pttor.com
ORI,บริษัท ออริจิ้น พร็อพเพอร์ตี้ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,496 หมู่ที่ 9 ตำบลสำโรงเหนือ อำเภอเมืองสมุทรปราการ สมุทรปราการ,10270,0-2030-0000,0-2029-1939,www.origin.co.th
OSP,บริษัท โอสถสภา จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,348 ถนนรามคำแหง แขวงหัวหมาก เขตบางกะปิ กทม.,10240,0-2351-1000,0-2351-1125,www.osotspa.com
OTO,บริษัท วันทูวัน คอนแทคส์ จำกัด (มหาชน),mai,บริการ,-,เลขที่ 99/10 หมู่ 4 อาคารซอฟต์แวร์ปาร์ค ชั้น 26 ถนนแจ้งวัฒนะ ตำบลคลองเกลือ อำเภอปากเกร็ด นนทบุรี,11120,0-2685-0000,-,www.onetoonecontacts.com
PACE,บริษัท เพซ ดีเวลลอปเมนท์ คอร์ปอเรชั่น จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 53 อาคารศิวาเทล ทาวเวอร์ ชั้นที่ 16 ห้องเลขที่ 1606 ถนนวิทยุ แขวงลุมพินี เขตปทุมวัน กทม.,10330,0-2118-9599,0-2118-9598,http://www.pacedev.com
PACO,บริษัท เพรสซิเด้นท์ ออโตโมบิล อินดัสทรีส์ จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,88/8 หมู่ที่ 9 ซอย วปอ. 11 (พิเศษ) ตำบลสวนหลวง อำเภอกระทุ่มแบน สมุทรสาคร,74110,0-2810-9900,"0-2810-0526-8 ext. 321, 307",www.paco.co.th
PAE,บริษัท พีเออี (ประเทศไทย) จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,69 ซอยอ่อนนุช 64 (สุขสมาน) ถนนศรีนครินทร์ แขวงสวนหลวง เขตสวนหลวง กทม.,10250,0-2322-0222,0-2322-2970-1,www.pae.co.th
PAF,บริษัท แพนเอเซียฟุตแวร์ จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,แฟชั่น,เลขที่ 620/5 หมู่ 11 ตำบล หนองขาม อำเภอ ศรีราชา ชลบุรี,20230,0-3848-0020-1,0-3848-0080,http://www.panasiafootwear.com
PAP,บริษัท แปซิฟิกไพพ์ จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,"อาคารลุมพินีทาวเวอร์ ชั้น 26, 1168/74 ถนนพระราม 4 กทม.",10120,0-2679-9000,0-2679-9075,http://www.pacificpipe.co.th
PATO,บริษัท พาโตเคมีอุตสาหกรรม จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,3388 ถนนเพชรบุรีตัดใหม่ แขวงบางกะปิ เขตห้วยขวาง กทม.,10310,"0-2318-5612-19, 0-2318-0360-9",0-2318-0367,www.patochemical.com
PB,บริษัท เพรซิเดนท์ เบเกอรี่ จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,"อาคารชุด อาร์ เอส ทาวเวอร์ ชั้น 29, 121/84-85 ถนนรัชดาภิเษก แขวงดินแดง เขตดินแดง กทม.",10400,02-209-3000,02-209-3091,http://www.farmhouse.co.th
PCSGH,บริษัท พี.ซี.เอส.แมชีน กรุ๊ปโฮลดิ้ง จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ยานยนต์,เลขที่ 2/1-9 หมู่ 3 ตำบลโคกกรวด อำเภอเมืองนครราชสีมา นครราชสีมา,30280,0-4470-1300,0-4470-1399,www.pcsgh.com
PDG,บริษัท พรอดดิจิ จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,7/3 หมู่ที่ 3 ตำบลบางกระเบา อำเภอนครชัยศรี นครปฐม,73120,0-3433-2611-2,0-3433-2613,www.prodigy.co.th
PDI,บริษัท ผาแดงอินดัสทรี จำกัด (มหาชน),SET,ทรัพยากร,พลังงานและสาธารณูปโภค,"อาคารซีทีไอทาวเวอร์ ชั้น 26-27, 191/18-25 ถนนรัชดาภิเษก แขวงคลองเตย เขตคลองเตย กทม.",10110,0-2695-9499,0-2695-9495,www.padaeng.com
PDJ,บริษัท แพรนด้า จิวเวลรี่ จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,แฟชั่น,28 ซอยบางนา-ตราด 28 แขวงบางนาใต้ เขตบางนา กทม.,10260,"0-2769-9999, 0-2361-3311","0-2398-2143, 0-2399-4874",www.pranda.com
PE,บริษัท พรีเมียร์เอ็นเตอร์ไพรซ์ จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,"อาคารพรีเมียร์คอร์เปอเรทปาร์ค, 1 ซอยพรีเมียร์ 2 ถนนศรีนครินทร์ แขวงหนองบอน เขตประเวศ กทม.",10250,"0-2301-1000, 0-2398-0029, 0-2301-1500","0-2398-1188, 0-2398-0701",www.pe.premier.co.th
PERM,บริษัท เพิ่มสินสตีลเวิคส์ จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,เหล็ก และ ผลิตภัณฑ์โลหะ,"เลขที่ 4, 95-96 หมู่ที่ 6 ตำบลโคกขาม อำเภอเมืองสมุทรสาคร สมุทรสาคร",74000,0-3482-5090-100,"0-3482-5078, 0-3482-5079, 0-3482-5081",www.permsin.com
PF,บริษัท พร็อพเพอร์ตี้ เพอร์เฟค จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,"อาคารวรสมบัติ ชั้น 17, 100/1 ถนนพระราม 9 แขวงห้วยขวาง เขตห้วยขวาง กทม.",10320,0-2245-6640-7,0-2247-3328,www.pf.co.th
PG,บริษัท ประชาอาภรณ์ จำกัด (มหาชน),SET,สินค้าอุปโภคบริโภค,แฟชั่น,666 ถนนพระราม 3 แขวงบางโพงพาง เขตยานนาวา กทม.,10120,0-2685-6500,0-2294-5159,www.pg.co.th
PHOL,บริษัท ผลธัญญะ จำกัด (มหาชน),mai,บริการ,-,1/11 หมู่ที่ 3 ถ.ลำลูกกา ต.ลาดสวาย อ.ลำลูกกา ปทุมธานี,12150,0-2791-0111,0-2791-0100-2,http://www.pdgth.com
PICO,บริษัท ปิโก (ไทยแลนด์) จำกัด (มหาชน),mai,บริการ,-,10 ซอยลาซาล 56 แขวงบางนาใต้ เขตบางนา กทม.,10260,0-2748-7007,"0-2745-8521, 0-2748-7591",www.picothai.com
PIMO,บริษัท ไพโอเนียร์ มอเตอร์ จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,"เลขที่ 78,78/4,78/5 หมู่ 3 ถนนดอนตูม-นครชัยศรี ตำบลดอนแฝก อำเภอนครชัยศรี นครปฐม",73120,0-3426-5111-8,0-3426-5119,www.pioneermotor.th.com
PJW,บริษัท ปัญจวัฒนาพลาสติก จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,"เลขที่ 19, 21 ซอยเอกชัย 63 ถนนเอกชัย แขวงบางบอน เขตบางบอน กทม.",10150,0-2415-1894,0-2415-0951,www.pjw.co.th
PK,บริษัท พัฒน์กล จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,348 ถนนเฉลิมพระเกียรติ ร.9 แขวงหนองบอน เขตประเวศ กทม.,10250,0-2328-1032-49,"0-2328-1245, 0-2328-1058",www.patkol.com
PL,บริษัท ภัทรลิสซิ่ง จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,"อาคารเมืองไทยภัทรคอมเพล็กซ์ 1 ชั้น 29, 252/6 ถนนรัชดาภิเษก เขตห้วยขวาง กทม.",10320,0-2693-2288,0-2693-2298-99,www.pl.co.th
PLANB,บริษัท แพลน บี มีเดีย จำกัด (มหาชน),SET,บริการ,สื่อและสิ่งพิมพ์,1213/420 ซอยลาดพร้าว 94 แขวงพลับพลา เขตวังทองหลาง กทม.,10310,0-2530-8053-6,0-2530-8057,www.planbmedia.co.th
PLANET,บริษัท แพลนเน็ต คอมมิวนิเคชั่น เอเชีย จำกัด (มหาชน),mai,เทคโนโลยี,-,157 ซอยรามอินทรา 34 ถนนรามอินทรา แขวงท่าแร้ง เขตบางเขน กทม.,10230,0-2792-2400,0-2792-2499,www.planetcomm.com
PLAT,บริษัท เดอะ แพลทินัม กรุ๊ป จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 222/1398 ชั้น 11 อาคารเดอะ แพลทินัม แฟชั่นมอลล์ ถนนเพชรบุรี แขวงถนนเพชรบุรี เขตราชเทวี กทม.,10400,0-2121-9999,0-2121-9000,http://theplatinumgroup.co.th
PLE,บริษัท เพาเวอร์ไลน์ เอ็นจิเนียริ่ง จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,2 ซอยสุขุมวิท 81 (ศิริพจน์) ถนนสุขุมวิท แขวงบางจาก เขตพระโขนง กทม.,10260,0-2332-0345,0-2311-0851,http://www.ple.co.th
PM,บริษัท พรีเมียร์ มาร์เก็ตติ้ง จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,อาหารและเครื่องดื่ม,เลขที่ 1 พรีเมียร์คอร์เปอเรทปาร์ค ซอยพรีเมียร์ 2 ถนนศรีนครินทร์ แขวงหนองบอน เขตประเวศ กทม.,10250,0-2301-1000,0-2301-1020,www.premier-marketing.co.th
PMTA,บริษัท พีเอ็ม โทรีเซน เอเชีย โฮลดิ้งส์ จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,ปิโตรเคมีและเคมีภัณฑ์,26/26-27 อาคารอรกานต์ ชั้นที่ 8 ซอยชิดลม ถนนเพลินจิต แขวงลุมพินี เขตปทุมวัน กทม.,10330,0-2250-0569,0-2657-1040,http://www.pmthoresenasia.com
POLAR,บริษัท โพลาริส แคปปิตัล จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 349 อาคารเอส เจ อินฟินิท วัน บิสซิเนส คอมเพล็กซ์ ชั้น 12 ห้องเลขที่ 1207 ถนนวิภาวดีรังสิต แขวงจอมพล เขตจตุจักร กทม.,10900,0-2931-29940-2514-2735-9,0-2931-2997,www.polariscap.co.th
POMPUI,บริษัท ผลิตภัณฑ์อาหารกว้างไพศาล จำกัด (มหาชน),SET,-,หมวดบริษัทจดทะเบียนที่อยู่ระหว่างฟื้นฟูการดำเนินงาน,เลขที่ 89 อาคารสุรินทร์ ถนนเชียงใหม่ แขวงคลองสาน เขตคลองสาน กทม.,10600,0-2863-3288,0-2863-3133,www.smilingfish.com
POPF,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ไพร์มออฟฟิศ,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,ชั้น 7-8 อาคาร 1 ไทยพาณิชย์ ปาร์ค พลาซ่า เลขที่ 18 ถนนรัชดาภิเษก แขวงจตุจักร เขตจตุจักร กทม.,10900,0-2949-1500,0-2949-1501,www.scbam.com
PORT,บริษัท สหไทย เทอร์มินอล จำกัด (มหาชน),SET,บริการ,ขนส่งและโลจิสติกส์,51/1 หมู่ที่ 3 ถนนปู่เจ้าสมิงพราย ตำบลบางหญ้าแพรก อำเภอพระประแดง สมุทรปราการ,10130,0-2386-8000,0-2386-8008,http://sahathaiterminal.com/
POST,บริษัท บางกอก โพสต์ จำกัด (มหาชน),SET,บริการ,สื่อและสิ่งพิมพ์,อาคารบางกอกโพสต์ 136 ถนนสุนทรโกษา แขวงคลองเตย เขตคลองเตย กทม.,10110,0-2616-4000,0-2240-3790,https://www.bangkokpost.co.th/
PPF,กองทุนรวมอสังหาริมทรัพย์ปิ่นทอง อินดัสเตรียล ปาร์ค,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,ชั้น 7-8 อาคาร 1 ไทยพาณิชย์ ปาร์ค พลาซ่า เลขที่ 18 ถนนรัชดาภิเษก แขวงจตุจักร เขตจตุจักร กทม.,10900,0-2949-1500,0-2949-1501,www.scbam.com
PPM,บริษัท พรพรหมเม็ททอล จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,229 ถนนนครราชสีมา แขวงดุสิต เขตดุสิต กทม.,10300,0-2628-6100,0-2628-8591,www.ppm.co.th
PPP,บริษัท พรีเมียร์ โพรดักส์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,วัสดุก่อสร้าง,เลขที่ 2 พรีเมียร์เพลซ ซอยพรีเมียร์ 2 ถนนศรีนครินทร์ แขวงหนองบอน เขตประเวศ กทม.,10250,"0-2301-2100, 0-2301-2101",0-2398-1301,www.premier-products.co.th
PPPM,บริษัท พีพี ไพร์ม จำกัด (มหาชน),SET,เกษตรและอุตสาหกรรมอาหาร,ธุรกิจการเกษตร,เลขที่ 69/5 หมู่ที่ 5 ถนนพระราม 2 (กม.71) ตำบลบางขันแตก อำเภอเมืองสมุทรสงคราม สมุทรสงคราม,75000,0-3477-1444,0-3477-1025,https://www.ppprime.co.th/
PPS,บริษัท โปรเจค แพลนนิ่ง เซอร์วิส จำกัด (มหาชน),mai,อสังหาริมทรัพย์และก่อสร้าง,-,381/6 ซอยพระรามเก้า 58 (ซอย 7 เสรี 7) ถนนพระรามเก้า แขวงสวนหลวง เขตสวนหลวง กทม.,10250,0-2718-2785-9,0-2300-5545-6,www.pps.co.th
PR9,บริษัท โรงพยาบาลพระรามเก้า จำกัด (มหาชน),SET,บริการ,การแพทย์,เลขที่ 99 ถนนพระราม 9 แขวงบางกะปิ เขตห้วยขวาง กทม.,10310,0-2202-9999,0-2202-9998,http://www.praram9.com
PRAKIT,บริษัท ประกิต โฮลดิ้งส์ จำกัด (มหาชน),SET,บริการ,สื่อและสิ่งพิมพ์,88 ซอยสุขุมวิท 62 แยก 3 แขวงพระโขนงใต้ เขตพระโขนง กทม.,10260,0-2332-8555,"0-2332-8522, 0-2332-8544",http://www.prakit.com
PRAPAT,บริษัท พีรพัฒน์ เทคโนโลยี จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,406 ถนนรัชดาภิเษก แขวงสามเสนนอก เขตห้วยขวาง กทม.,10310,0-2290-1234,0-2290-1249,https://www.peerapat.com
PREB,บริษัท พรีบิลท์ จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,บริการรับเหมาก่อสร้าง,503 ชั้น1 ถนนบอนด์สตรีท ตำบลบางพูด อำเภอปากเกร็ด นนทบุรี,11120,0-2960-1380-89,0-2960-1392,www.prebuilt.co.th
PRECHA,บริษัท ปรีชากรุ๊ป จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,1919 ถนนพัฒนาการ แขวงสวนหลวง เขตสวนหลวง กทม.,10250,0-2722-8855,0-2722-8844,www.preecha.com
