หลักทรัพย์,บริษัท,ตลาด,กลุ่มอุตสาหกรรม,หมวดธุรกิจ,ที่อยู่,รหัสไปรษณีย์,โทรศัพท์,โทรสาร,เว๊บไซต์
FMT,บริษัท ไฟน์ เม็ททัล เทคโนโลยีส์ จำกัด (มหาชน),SET,สินค้าอุตสาหกรรม,วัสดุอุตสาหกรรมและเครื่องจักร,183 อาคารรีเจ้นท์เฮ้าส์ ชั้น 14 ถนนราชดำริห์ แขวงลุมพินี เขตปทุมวัน กทม.,10330,0-2256-0641-50,0-2256-0651-2,www.fmt.co.th
FN,บริษัท เอฟเอ็น แฟคตอรี่ เอ๊าท์เลท จำกัด (มหาชน),SET,บริการ,พาณิชย์,เลขที่ 991 อาคาร เอฟเอ็น บิวดิ้ง ถนนพระราม 9 แขวงสวนหลวง เขตสวนหลวง กทม.,10250,0-2300-4951,0-2300-4681,www.fnoutlet.com
FNS,บริษัท ฟินันซ่า จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,เลขที่ 48/48 อาคารทิสโก้ทาวเวอร์ ชั้น 20 ถนนสาทรเหนือ แขวงสีลม เขตบางรัก กทม.,10500,0-2697-3700,0-2266-6688,http://www.finansa.com
FORTH,บริษัท ฟอร์ท คอร์ปอเรชั่น จำกัด (มหาชน),SET,เทคโนโลยี,เทคโนโลยีสารสนเทศและการสื่อสาร,เลขที่ 1053/1 ถนนพหลโยธิน แขวงพญาไท เขตพญาไท กทม.,10400,"0-2265-6700, 0-2271-2888","0-2265-6799, 0-2279-4888",http://www.forth.co.th
FPI,บริษัท ฟอร์จูน พาร์ท อินดัสตรี้ จำกัด (มหาชน),mai,สินค้าอุตสาหกรรม,-,11/22 หมู่ 20 ถนนนิมิตใหม่ ตำบลลำลูกกา อำเภอลำลูกกา ปทุมธานี,12150,0-2993-4970-7,0-2993-4978-9,http://www.fpiautoparts.com
FPT,บริษัท เฟรเซอร์ส พร็อพเพอร์ตี้ (ประเทศไทย) จำกัด (มหาชน),SET,อสังหาริมทรัพย์และก่อสร้าง,พัฒนาอสังหาริมทรัพย์,เลขที่ 944 มิตรทาวน์ ออฟฟิศ ทาวเวอร์ ชั้นที่ 22-23 ถนนพระราม 4 แขวงวังใหม่ เขตปทุมวัน กทม.,10330,0-2483-0000,0-2078-1970,https://www.frasersproperty.co.th
FSMART,บริษัท ฟอร์ท สมาร์ท เซอร์วิส จำกัด (มหาชน),mai,บริการ,-,256 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กทม.,10400,0-2278-1777,0-2279-7195,www.boonterm.com
FSS,บริษัทหลักทรัพย์ ฟินันเซีย ไซรัส จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,999/9 อาคาร ดิ ออฟฟิศเศส แอท เซ็นทรัลเวิลด์ ชั้น 18 ถนนพระราม 1 แขวงปทุมวัน เขตปทุมวัน กทม.,10330,0-2658-9000,0-2658-9501,www.fnsyrus.com
FTE,บริษัท ไฟร์เทรดเอ็นจิเนียริ่ง จำกัด (มหาชน),SET,บริการ,พาณิชย์,เลขที่ 1198/5 ถนนพระราม 9 แขวงพัฒนาการ เขตสวนหลวง กทม.,10250,0-2026-0470-92,0-2026-0499,www.firetrade.co.th
FTREIT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์เพื่ออุตสาหกรรม เฟรเซอร์ส พร็อพเพอร์ตี้,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,เลขที่ 944 มิตรทาวน์ ออฟฟิศ ทาวเวอร์ ชั้นที่ 22-23 ถนนพระราม 4 แขวงวังใหม่ เขตปทุมวัน กทม.,10330,0-2483-0000,0-2483-0592,www.ftreit.co.th
FUTUREPF,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ฟิวเจอร์พาร์ค,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,175 อาคารสาธรซิตี้ทาวเวอร์ ชั้น 7 ชั้น 21 และชั้น 26 ถนนสาทรใต้ แขวงทุ่งมหาเมฆ เขตสาทร กทม.,10120,0-2674-6488,0-2679-5996,http://investor.futurepark.co.th
FVC,บริษัท ฟิลเตอร์ วิชั่น จำกัด (มหาชน),mai,บริการ,-,95 ซอยรามอินทรา 117 ถนนรามอินทรา แขวงมีนบุรี เขตมีนบุรี กทม.,10510,0-2518-2722,0-2518-2723,http://www.filtervision.co.th
GAHREIT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์ แกรนด์ โฮสพีทาลิตี้,SET,อสังหาริมทรัพย์และก่อสร้าง,กองทุนรวมอสังหาริมทรัพย์และกองทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์,"989 อาคารสยามพิวรรธน์ทาวเวอร์ ชั้น 9, 24 ถนนพระราม 1 แขวงปทุมวัน เขตปทุมวัน กทม.",10330,0-2659-8888,0-2659-8860,www.one-asset.com
GBX,บริษัท โกลเบล็ก โฮลดิ้ง แมนเนจเม้นท์ จำกัด (มหาชน),SET,ธุรกิจการเงิน,เงินทุนและหลักทรัพย์,"อาคาร ซีอาร์ซี ออลซีซั่นส์ เพลส ชั้น 12, 87/2 ถนนวิทยุ แขวงลุมพินี เขตปทุมวัน กทม.",10330,0-2672-5999,0-2687-7009,www.globlexholding.co.th
